"","X1","Date","Block","IUCR","Description","Arrest","Domestic","Beat","District","Ward","Year","Latitude","Longitude","date.only","hr","day.of.week","street.type","Primary.Type","Community.Area","FBI.Code","Location.Description"
"1",1,2018-09-13 14:00:00,"050XX S LAWNDALE AVE","1320","TO VEHICLE","No","No","0821","008","14",2018,41.801707371,-87.716034394,2018-09-13,"14","Thursday","AVE","CRIMINAL DAMAGE","62","14","STREET"
"2",2,2018-07-06 23:00:00,"028XX W CERMAK RD","0460","SIMPLE","No","No","1023","010","12",2018,41.851889359,-87.696469311,2018-07-06,"23","Friday","RD","BATTERY","30","08B","STREET"
"3",3,2018-06-25 02:00:00,"064XX S FRANCISCO AVE","1310","TO PROPERTY","No","No","0823","008","15",2018,41.776297035,-87.695762262,2018-06-25,"2","Monday","AVE","CRIMINAL DAMAGE","66","14","APARTMENT"
"4",4,2018-08-09 05:45:00,"035XX W 12TH PL","0820","$500 AND UNDER","No","No","1021","010","24",2018,41.865156224,-87.71373199,2018-08-09,"5","Thursday","PL","THEFT","29","06","STREET"
"5",5,2018-11-02 07:40:00,"046XX S FEDERAL ST","0910","AUTOMOBILE","No","No","0215","002","3",2018,41.810754956,-87.628253619,2018-11-02,"7","Friday","ST","MOTOR VEHICLE THEFT","38","07","STREET"
"6",6,2018-06-25 17:00:00,"103XX S COTTAGE GROVE AVE","1310","TO PROPERTY","No","No","0512","005","9",2018,41.706252684,-87.606775345,2018-06-25,"17","Monday","AVE","CRIMINAL DAMAGE","50","14","RESIDENCE"
"7",7,2018-09-19 13:50:00,"049XX S ARCHER AVE","1563","CRIMINAL SEXUAL ABUSE","No","No","0821","008","14",2018,41.803201891,-87.72198373,2018-09-19,"13","Wednesday","AVE","SEX OFFENSE","57","17","SCHOOL, PUBLIC, BUILDING"
"8",8,2018-03-12 10:00:00,"083XX S ELIZABETH ST","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0613","006","21",2018,41.742740762,-87.654743231,2018-03-12,"10","Monday","ST","BATTERY","71","08B","APARTMENT"
"9",9,2018-04-10 12:26:00,"022XX W 19TH ST","143B","UNLAWFUL POSS OTHER FIREARM","Yes","No","1234","012","25",2018,41.855761887,-87.681858216,2018-04-10,"12","Tuesday","ST","WEAPONS VIOLATION","31","15","SIDEWALK"
"10",10,2018-04-01 08:00:00,"102XX S LA SALLE ST","0820","$500 AND UNDER","No","No","0511","005","9",2018,41.708152482,-87.627141885,2018-04-01,"8","Sunday","ST","THEFT","49","06","RESIDENCE"
"11",11,2018-09-05 15:15:00,"109XX S DOTY AVE W","0860","RETAIL THEFT","Yes","No","0513","005","9",2018,41.695982095,-87.596653142,2018-09-05,"15","Wednesday","W","THEFT","50","06","SMALL RETAIL STORE"
"12",12,2018-07-20 23:30:00,"050XX S MICHIGAN AVE","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0224","002","3",2018,41.80317932,-87.622677433,2018-07-20,"23","Friday","AVE","BATTERY","38","08B","HOTEL/MOTEL"
"13",13,2018-05-13 09:00:00,"049XX N MILWAUKEE AVE","0460","SIMPLE","No","No","1623","016","45",2018,41.971050859,-87.763586124,2018-05-13,"9","Sunday","AVE","BATTERY","11","08B","CTA BUS"
"14",14,2018-02-17 21:45:00,"095XX S AVALON AVE","1750","CHILD ABUSE","Yes","No","0511","005","8",2018,41.720927168,-87.593536791,2018-02-17,"21","Saturday","AVE","OFFENSE INVOLVING CHILDREN","50","20","RESIDENCE"
"15",15,2018-11-01 10:00:00,"003XX S WACKER DR","0820","$500 AND UNDER","No","No","0122","001","42",2018,41.877762073,-87.63688469,2018-11-01,"10","Thursday","DR","THEFT","32","06","STREET"
"16",16,2018-07-20 08:00:00,"011XX W GARFIELD BLVD","0460","SIMPLE","No","No","0712","007","16",2018,41.793825753,-87.652869806,2018-07-20,"8","Friday","BLVD","BATTERY","68","08B","APARTMENT"
"17",17,2018-05-13 19:51:00,"048XX W 47TH ST","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0814","008","23",2018,41.807597997,-87.743458142,2018-05-13,"19","Sunday","ST","BATTERY","56","08B","STREET"
"18",18,2018-10-17 21:24:00,"078XX S YATES BLVD","143A","UNLAWFUL POSS OF HANDGUN","Yes","No","0421","004","7",2018,41.752812742,-87.566252678,2018-10-17,"21","Wednesday","BLVD","WEAPONS VIOLATION","43","15","STREET"
"19",19,2018-03-23 16:00:00,"001XX N LOCKWOOD AVE","0610","FORCIBLE ENTRY","No","No","1523","015","28",2018,41.88354062,-87.757625586,2018-03-23,"16","Friday","AVE","BURGLARY","25","05","RESIDENCE"
"20",20,2018-08-07 19:00:00,"042XX W BERTEAU AVE","0810","OVER $500","No","No","1722","017","38",2018,41.957242334,-87.732958703,2018-08-07,"19","Tuesday","AVE","THEFT","16","06","STREET"
"21",21,2018-11-17 07:30:00,"041XX W WILCOX ST","2014","MANU/DELIVER: HEROIN (WHITE)","Yes","No","1115","011","28",2018,NA,NA,2018-11-17,"7","Saturday","ST","NARCOTICS","26","18","VEHICLE NON-COMMERCIAL"
"22",22,2018-09-04 21:00:00,"081XX S FRANCISCO AVE","1153","FINANCIAL IDENTITY THEFT OVER $ 300","No","No","0835","008","18",2018,41.745663383,-87.694955112,2018-09-04,"21","Tuesday","AVE","DECEPTIVE PRACTICE","70","11","RESIDENCE"
"23",23,2018-03-08 19:00:00,"124XX S MICHIGAN AVE","1153","FINANCIAL IDENTITY THEFT OVER $ 300","No","No","0532","005","9",2018,41.667169176,-87.620123625,2018-03-08,"19","Thursday","AVE","DECEPTIVE PRACTICE","53","11","RESIDENCE"
"24",24,2018-10-09 19:45:00,"019XX W 79TH ST","5011","LICENSE VIOLATION","Yes","No","0611","006","18",2018,41.750241632,-87.672276686,2018-10-09,"19","Tuesday","ST","OTHER OFFENSE","71","26","SMALL RETAIL STORE"
"25",25,2018-02-02 23:40:00,"018XX N NORMANDY AVE","0486","DOMESTIC BATTERY SIMPLE","No","No","2513","025","36",2018,41.913144779,-87.79247197,2018-02-02,"23","Friday","AVE","BATTERY","25","08B","OTHER"
"26",26,2018-03-03 23:33:00,"038XX W GRENSHAW ST","2024","POSS: HEROIN(WHITE)","Yes","No","1133","011","24",2018,41.867122003,-87.721577044,2018-03-03,"23","Saturday","ST","NARCOTICS","29","18","STREET"
"27",27,2018-07-15 06:50:00,"108XX S UNION AVE","0460","SIMPLE","No","No","2233","022","34",2018,41.696982374,-87.640098183,2018-07-15,"6","Sunday","AVE","BATTERY","49","08B","SCHOOL, PRIVATE, BUILDING"
"28",28,2018-12-18 15:36:00,"006XX N MICHIGAN AVE","0860","RETAIL THEFT","No","No","1834","018","42",2018,41.892816145,-87.624193198,2018-12-18,"15","Tuesday","AVE","THEFT","8","06","DEPARTMENT STORE"
